question_no,source_id,direction,direction_display,transcript,source_audio_url,synthesis_audio_url,review_decision,selected_item_id,checkpoint,target_reference,accent_prediction,target_probability_pct,nisqa_mos,source_original_path,synthesis_original_path,internal_review_comments,item_id,target_ref_path,recall_tgt_hit,source_duration_sec,synthesis_duration_sec,target_duration_sec,target_spksim
Q013,AME021,ame2bri,American to British,THEY DID NOT KNOW WHO I WAS AND DID NOT LIKE TO ASK ME WHILST I THOUGHT IT BETTER TO PRESERVE A MODEST SILENCE,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q013__AME021__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q013__AME021__phonos.wav,Selected,ame2bri::AME021::r3_epoch06::slr83_southern_male_som_08784,r3_epoch06,slr83_southern_male_som_08784,british_isles,93.214750289917,3.9595044,/data/waris/code/PHONOSv2/evaluation/final/american/3170/wav/3170-137482-0025.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME021/r3_epoch06/slr83_southern_male_som_08784.wav,,ame2bri::AME021::r3_epoch06::slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,1,7.445,7.46,12.970666666666666,0.8632135391235352
Q018,AME035,ame2bri,American to British,IN ALL OUR HISTORY YOU ARE THE FIRST PEOPLE FROM OUTSIDE OUR BORDERS WHO HAVE EVER STEPPED A FOOT IN OUR LAND,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q018__AME035__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q018__AME035__phonos.wav,Selected,ame2bri::AME035::r3_epoch06::slr83_southern_female_sof_03397,r3_epoch06,slr83_southern_female_sof_03397,british_isles,96.7631220817566,3.799655,/data/waris/code/PHONOSv2/evaluation/final/american/5338/wav/5338-284437-0031.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME035/r3_epoch06/slr83_southern_female_sof_03397.wav,,ame2bri::AME035::r3_epoch06::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,7.75,7.76,4.352,0.7714765667915344
Q019,AME037,ame2bri,American to British,THE KINGDOM OF NORTHUMBRIA AS THE NAME IMPLIES EMBRACED NEARLY ALL THE COUNTRY FROM THE HUMBER TO THE PICTISH BORDER,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q019__AME037__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q019__AME037__phonos.wav,Selected,ame2bri::AME037::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,british_isles,98.92112016677856,3.954262,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-152373-0010.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME037/r1_epoch13/slr83_southern_male_som_08784.wav,,ame2bri::AME037::r1_epoch13::slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,1,7.6,7.6,12.970666666666666,0.8820083141326904
Q001,AME001,ame2ind,American to Indian,THE MAN SHRUGGED HIS BROAD SHOULDERS AND TURNED BACK INTO THE ARABESQUE CHAMBER,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q001__AME001__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q001__AME001__phonos.wav,Selected,ame2ind::AME001::r1_epoch13::Telu0088,r1_epoch13,Telu0088,south_asian,99.86913800239564,3.93201,/data/waris/code/PHONOSv2/evaluation/final/american/251/wav/251-118436-0005.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME001/r1_epoch13/Telu0088.wav,,ame2ind::AME001::r1_epoch13::Telu0088,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,1,5.31,5.32,9.59375,0.9031832218170166
Q002,AME002,ame2ind,American to Indian,BE THE RESULTS HOWEVER WHAT THEY MIGHT RANDAL COULD SEE BUT ONE PLAIN COURSE BEFORE HIM NOW,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q002__AME002__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q002__AME002__phonos.wav,Selected,ame2ind::AME002::r3_epoch06::rajasthanimale,r3_epoch06,rajasthanimale,south_asian,96.94876074790956,4.080668,/data/waris/code/PHONOSv2/evaluation/final/american/8297/wav/8297-275156-0008.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME002/r3_epoch06/rajasthanimale.wav,,ame2ind::AME002::r3_epoch06::rajasthanimale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,1,7.84,7.84,4.5995,0.890261709690094
Q003,AME005,ame2ind,American to Indian,ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q003__AME005__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q003__AME005__phonos.wav,Selected,ame2ind::AME005::r3_epoch06::Telu0088,r3_epoch06,Telu0088,south_asian,99.84403252601624,3.468359,/data/waris/code/PHONOSv2/evaluation/final/american/7176/wav/7176-88083-0000.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME005/r3_epoch06/Telu0088.wav,,ame2ind::AME005::r3_epoch06::Telu0088,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,1,5.695,5.7,9.59375,0.8556933403015137
Q004,AME003,ame2ind,American to Indian,WITH ENTREES SERVE CLARETS OR OTHER RED WINES SUCH AS SWISS BORDEAUX HUNGARIAN OR ITALIAN WINES,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q004__AME003__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q004__AME003__phonos.wav,Selected,ame2ind::AME003::r3_epoch06::telugufemale,r3_epoch06,telugufemale,south_asian,99.63755011558531,4.0128183,/data/waris/code/PHONOSv2/evaluation/final/american/652/wav/652-130737-0002.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME003/r3_epoch06/telugufemale.wav,,ame2ind::AME003::r3_epoch06::telugufemale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/telugufemale.wav,1,7.57,7.58,23.253375,0.9170577526092529
Q005,AME008,ame2ind,American to Indian,I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q005__AME008__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q005__AME008__phonos.wav,Selected,ame2ind::AME008::r1_epoch13::Telu0088,r1_epoch13,Telu0088,south_asian,97.68792986869812,4.0210214,/data/waris/code/PHONOSv2/evaluation/final/american/5694/wav/5694-64029-0007.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME008/r1_epoch13/Telu0088.wav,,ame2ind::AME008::r1_epoch13::Telu0088,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,1,6.585,6.6,9.59375,0.9198492765426636
Q006,AME009,ame2ind,American to Indian,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q006__AME009__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q006__AME009__phonos.wav,Selected,ame2ind::AME009::r3_epoch06::telugufemale,r3_epoch06,telugufemale,south_asian,99.33176040649414,4.106983,/data/waris/code/PHONOSv2/evaluation/final/american/1272/wav/1272-141231-0026.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME009/r3_epoch06/telugufemale.wav,,ame2ind::AME009::r3_epoch06::telugufemale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/telugufemale.wav,1,6.635,6.64,23.253375,0.9021193981170654
Q007,AME015,ame2ind,American to Indian,SURELY IT MUST BE BECAUSE WE ARE IN DANGER OF LOVING EACH OTHER TOO WELL OF LOSING SIGHT OF THE CREATOR IN IDOLATRY OF THE CREATURE,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q007__AME015__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q007__AME015__phonos.wav,Selected,ame2ind::AME015::r3_epoch06::rajasthanimale,r3_epoch06,rajasthanimale,south_asian,94.5724368095398,4.3698363,/data/waris/code/PHONOSv2/evaluation/final/american/3575/wav/3575-170457-0003.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME015/r3_epoch06/rajasthanimale.wav,,ame2ind::AME015::r3_epoch06::rajasthanimale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,1,7.595,7.6,4.5995,0.8850204348564148
Q009,AME012,ame2ind,American to Indian,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q009__AME012__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q009__AME012__phonos.wav,Selected,ame2ind::AME012::r3_epoch06::telugufemale,r3_epoch06,telugufemale,south_asian,99.5438516139984,4.3463326,/data/waris/code/PHONOSv2/evaluation/final/american/1089/wav/1089-134686-0025.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME012/r3_epoch06/telugufemale.wav,,ame2ind::AME012::r3_epoch06::telugufemale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/telugufemale.wav,1,6.61,6.62,23.253375,0.909133791923523
Q010,AME026,ame2ind,American to Indian,I HAVE NEVER KNOWN A MADGE AND YET FROM MY BOYHOOD UPWARD I HAVE DESIRED TO MEET ONE,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q010__AME026__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q010__AME026__phonos.wav,Selected,ame2ind::AME026::r6_epoch05::Telu0088,r6_epoch05,Telu0088,south_asian,96.21320366859436,4.1930046,/data/waris/code/PHONOSv2/evaluation/final/american/2428/wav/2428-83699-0007.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME026/r6_epoch05/Telu0088.wav,,ame2ind::AME026::r6_epoch05::Telu0088,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,1,5.71,5.72,9.59375,0.8855628967285156
Q011,AME018,ame2ind,American to Indian,A PERFECT BLAZE OF CLOSE RANGE MUSKETRY TOO MOWED THEM DOWN LIKE GRASS,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q011__AME018__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q011__AME018__phonos.wav,Selected,ame2ind::AME018::r3_epoch06::rajasthanimale,r3_epoch06,rajasthanimale,south_asian,87.76772022247314,4.19726,/data/waris/code/PHONOSv2/evaluation/final/american/7976/wav/7976-105575-0022.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME018/r3_epoch06/rajasthanimale.wav,,ame2ind::AME018::r3_epoch06::rajasthanimale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,1,5.38,5.38,4.5995,0.8987314701080322
Q012,AME014,ame2ind,American to Indian,THEN THEY STARTED ON AGAIN AND TWO HOURS LATER CAME IN SIGHT OF THE HOUSE OF DOCTOR PIPT,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q012__AME014__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q012__AME014__phonos.wav,Selected,ame2ind::AME014::r1_epoch13::Telu0088,r1_epoch13,Telu0088,south_asian,99.46742057800292,4.2185564,/data/waris/code/PHONOSv2/evaluation/final/american/1284/wav/1284-1180-0009.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME014/r1_epoch13/Telu0088.wav,,ame2ind::AME014::r1_epoch13::Telu0088,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,1,6.285,6.3,9.59375,0.9101736545562744
Q014,AME021,ame2ind,American to Indian,THEY DID NOT KNOW WHO I WAS AND DID NOT LIKE TO ASK ME WHILST I THOUGHT IT BETTER TO PRESERVE A MODEST SILENCE,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q014__AME021__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q014__AME021__phonos.wav,Selected,ame2ind::AME021::r6_epoch05::rajasthanimale,r6_epoch05,rajasthanimale,south_asian,93.34217309951782,4.510004,/data/waris/code/PHONOSv2/evaluation/final/american/3170/wav/3170-137482-0025.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME021/r6_epoch05/rajasthanimale.wav,,ame2ind::AME021::r6_epoch05::rajasthanimale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,1,7.445,7.46,4.5995,0.8987035751342773
Q019,AME035,ame2ind,American to Indian,IN ALL OUR HISTORY YOU ARE THE FIRST PEOPLE FROM OUTSIDE OUR BORDERS WHO HAVE EVER STEPPED A FOOT IN OUR LAND,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q019__AME035__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q019__AME035__phonos.wav,Selected,ame2ind::AME035::r6_epoch05::rajasthanimale,r6_epoch05,rajasthanimale,south_asian,89.35126066207886,4.108426,/data/waris/code/PHONOSv2/evaluation/final/american/5338/wav/5338-284437-0031.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME035/r6_epoch05/rajasthanimale.wav,,ame2ind::AME035::r6_epoch05::rajasthanimale,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,1,7.75,7.76,4.5995,0.8890483379364014
Q020,AME037,ame2ind,American to Indian,THE KINGDOM OF NORTHUMBRIA AS THE NAME IMPLIES EMBRACED NEARLY ALL THE COUNTRY FROM THE HUMBER TO THE PICTISH BORDER,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q020__AME037__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2ind/Q020__AME037__phonos.wav,Selected,ame2ind::AME037::r1_epoch13::Telu0088,r1_epoch13,Telu0088,south_asian,99.31427240371704,4.1433587,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-152373-0010.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME037/r1_epoch13/Telu0088.wav,,ame2ind::AME037::r1_epoch13::Telu0088,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,1,7.6,7.6,9.59375,0.9277191162109375
